group	letters	years	shelfmarks_arks	estimated_signs	known_key	copy_free_share	read_by	source_files
ferdinand to giovanni maria	1	1548-1548	malvezzi1548	unknown	DECODE R367 (, 1548)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
charles to windischgrätz	1	1720-1722	windischgraetz1720	unknown	DECODE R5017/R5018 Windischgrätz keys (, 1720)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
between windischgrätz	1	1721-1721	windischgraetz1721	unknown	Mírka's key on R5029 (Mírka, 1721)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
codebreaker file	1	1623-1624	sp106box10	unknown	DECODE R725 (, 1623)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
charles to rupert	1	1645-1645	rupert1645	unknown	Lasry's SP 106/5 King–Queen key (George Lasry, 1645)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
henrietta maria to charles	1	1645-1645	hm1645	unknown	Lasry's SP 106/5 King–Queen key (George Lasry, 1645)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
francesco barberini to ceva	1	1632-1632	ceva1632	unknown	Lasry's Barberini–Ceva key (George Lasry, 1632)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
como to dandini	1	1580-1580	dandini1580	unknown	Lasry's key D3190 (R72) (George Lasry, 1580)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
sauli riario	1	1579-1579	sauli1579	unknown	Lasry's Portugal nunciature key (George Lasry, 1579)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
lucini from	1	1767-1767	lucini1767	unknown	Lasry's key (R121) (George Lasry, 1767)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
acciaiuoli from	1	1758-1758	acciaiuoli1757	unknown	Lasry's key D3232 (George Lasry, 1758)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
secretariat state to spain	1	1718-1720	nunzio1718	unknown	Lasry's Spagna 1718 key (George Lasry, 1718)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
secretariat state to nunciature spain	1	1736-1736	nunzio1736	unknown	Lasry's Spagna 423 key (George Lasry, 1736)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
santa croce to del monte	1	1553-1553	santacroce1552	unknown	Lasry's Santa Croce key (George Lasry, 1552)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
gramont mâcon to montmorency	1	1529-1537	gramont1529	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
mâcon rome to montmorency	1	1536-1537	rome1536	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
sormano passano to françois	1	1529-1529	sormano1529	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
del vasto to charles	1	1527-1527	vasto1527	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
charles to philibert croc	1	1565-1572	charlesixducroc	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
campeggio conclave	1	1534-1534	marechaux1520	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
ambrogio bizozola to maximilian sforza	1	1529-1529	bizozola1520	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
galeazzo visconti to montmorency	1	1528-1528	visconti1528	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
galeazzo visconti to angelo bolano	1	1528-1529	visconti1529	unknown	Lasry's French keys (Cryptiana GL.htm) (George Lasry, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
paris nunciature	1	1585-1585	bergamo1585	unknown	Lasry's key (Bergamo) (George Lasry, 1585)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
morosini to montalto	1	1588-1588	morosini1588	unknown	Meister's nunciature key (A. Meister, 1588)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
giovanni battista to francesco barberini	1	1629-1629	pallotto1629	unknown	Biermann–Bosbach Barb. Lat. 6956 key (Biermann & Bosbach, 1629)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
diego lópez to cisneros	1	1516-1516	ayala1516	unknown	Tomokiyo's R10024 key (Satoshi Tomokiyo, 1516)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
henry norreys to cecil	1	1567-1567	norreys1567	unknown	Tomokiyo's Cecil–Norris table (Satoshi Tomokiyo, 1567)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
catherine médicis	1	1562-1564	rennes1563	unknown	Tomokiyo's Bishop of Rennes key (Satoshi Tomokiyo, 1563)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
pelissier to pierre jeannin	1	1592-1592	pelissier1592	unknown	Tomokiyo's Pelissier key (Satoshi Tomokiyo, 1592)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
henry navarre to ségur	1	1585-1585	segur	unknown	Tomokiyo's f. 321 key (Satoshi Tomokiyo, 1586)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
nicolas raince to montmorency	1	1526-1526	raince	unknown	Tomokiyo's 1529 key (Satoshi Tomokiyo, 1529)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
anonymous to league leader	1	1586-1586	clair357	unknown	Tomokiyo's Henri III table (Satoshi Tomokiyo, 1586)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
maffeo treviglio to ludovico sforza	1	1489-1490	buda1489	unknown	Somogyi's 1489 key (Judit W. Somogyi, 2016)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
giuliano caprile	1	1519-1519	caprile1519	unknown	Somogyi's 2025 decipherments (W. Somogyi, 2025)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
lope hurtado to charles gattinara	1	1523-1523	lopehurtado1523	unknown	Lope Hurtado R9846 clear (, 1523)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
affry intercepted	1	1757-1757	affry1757	unknown	Lyonet's decipherments (Pieter Lyonet, 1757)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
johann heinrich	1	1754-1754	kauderbach1754	unknown	DECODE R936 (1761 Saxon key) (, 1761)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
kurz senftenau to trauttmansdorff	1	1639-1639	kurtz1639	unknown	R3811 glosses (, 1639)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
cobham to walsingham	1	1588-1588	cobham1588	unknown	Harley 287 glosses (, 1588)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
cobham ostend to walsingham	1	1588-1588	harley287	unknown	Harley 287 glosses (, 1588)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
throckmorton ciphered	1	1560-1560	throckmorton	unknown	DECODE R9262 (Add MS 4136 keys) (Throckmorton's secretariat, 1560)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
thomas smith to cecil	1	1562-1566	smith1562	unknown	DECODE R9261 Smith's cipher (Thomas Smith, 1563)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
ralph boswell to william boswell	1	1627-1627	boswell1628	unknown	Woodard's R413 key (Woodard (DECODE), 2021)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
sigismund heusner to axel oxenstierna	1	1637-1637	heusner1637	unknown	Waldispühl & Kopal's Heusner key (Waldispühl & Kopal, 2024)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
richard forster	1	1644-1644	forster	unknown	Pitt's Forster key (Robert Pitt (Lasry, Biermann earlier), 2026)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
louis xiv to catinat	1	1691-1691	catinat1691	unknown	Bazeries' Grand Chiffre 1691 (Étienne Bazeries, 1893)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
henri to landgrave maurice	1	1602-1609	hesse1603	unknown	Rommel's printed Hesse key (Rommel (from van der Kemp), 1846)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
galeotto ricasoli to dieci balía	1	1425-1425	florence1429	unknown	Gabbrielli's key 1 (Gabbrielli, 1863)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
sormano vaulx to françois	1	1529-1529	sormano	unknown	Lasry's Sormano key (George Lasry, 2023)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
henri to savary brèves	1	1603-1603	breves1603	unknown	BnF fr. 3462 f. 103 key (, 1603)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
robert yard to earl manchester	1	1699-1699	yard1699	unknown	Manchester's cypher copy (Yale) (Deciphering office copy, 1699)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
eichel sheet	1	1758-1758	eichel1758	unknown	DECODE R596 (, 1758)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
mary scots to norfolk	1	1570-1570	norfolk1570	unknown	Tomokiyo's Mary–Norfolk key (Satoshi Tomokiyo, )	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
henri to andré hurault	1	1592-1592	maisse1592	unknown	Tomokiyo's Maisse keys (Satoshi Tomokiyo, )	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
champagne news to duc nevers	1	1590-1590	champagne1590	unknown	Key bound on f. 36r (, 1590)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
philip to bernardino mendoza	1	1589-1589	mendoza1589	unknown	Tomokiyo's Cg.13 fragment (Satoshi Tomokiyo, 1587)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
bordeaux to brienne	1	1653-1653	bordeaux1653	unknown	DECODE R7537 (English key for Bordeaux) (Deciphering Branch, 1653)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
spanish despatches	1	1593-1593	sessa1593	unknown	Tomokiyo's Spanish cipher 1592-93 (Satoshi Tomokiyo, 1592)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
dirk hogendorp to maarten der	1	1803-1803	r1942	unknown	DECODE R1035 codebook 1803 (Legatie Rusland, 1803)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
twenty two	1	1918-1918	adfgvx	unknown	Lasry et al. ADFGVX keys (Lasry, Niebel, Kopal, Wacker, )	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
vincenzo gonzaga to nevers	1	1590-1590	gonzaga1590	unknown	Tomokiyo's Nevers cipher no. 35 (BnF fr. 3995 f. 64) (Nevers's chancery; listed by Satoshi Tomokiyo, 1590)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
lebel to charles emmanuel	1	1593-1593	lebel1593	unknown	Tomokiyo's Savoy key (1593) (S. Tomokiyo, 2017)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
caracciolo to charles	1	1537-1537	caracciolo1537	unknown	Luo's Cifrario 38 (Charles V–Caracciolo) (Wanruo Luo, 2021)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
andrás bay to rákóczi	1	1706-1706	bay1706	unknown	R609 R&aacute;k&oacute;czi syllabic key (G15 C 43/56) (R&aacute;k&oacute;czi chancery, 1705)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
robert reade to his cousin	1	1641-1641	harley7001	unknown	Windebank family cipher (Deciphering Branch reconstruction, Add MS 32256 f. 4) (Deciphering Branch, 1641)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
pál bornemisza to ferdinand kendi	1	1556-1556	r1212	unknown	Bornemisza sign key (DECODE R1211) (, 1556)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
nicholas wotton to mary	1	1554-1554	harley1582r8499	unknown	Wotton's French embassy key, 1554 (DECODE R354) (, 1554)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
ferenc wesselényi to leopold	1	1663-1663	wesselenyi1664	unknown	Teleki collection key no. 12, reversed alphabet (DECODE R672) (, 1660)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
jörg weinmeister to dukes bavaria	1	1533-1533	augurelio1535	unknown	KAA 4591 System A′ key, from the contemporary gloss on R9410/R9427 (Daniel Bourdeau, 1535)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
catherine médicis to villeroy	1	1581-1581	r4157	unknown	Tomokiyo's key for BnF fr. 15564 f. 33 (Catherine de Médicis → Villeroy, 1581) (Satoshi Tomokiyo, 1581)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
correspondent randan to nevers	1	1587-1587	nevers1587	unknown	Nevers cipher no. 11 (BnF fr. 3995 f. 23) (Nevers's chancery; listed by Satoshi Tomokiyo, 1586)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
łaski john to dukes bavaria	1	1531-1537	kaa4591b	unknown	"King John–Bavaria sign cipher, ""System L"" (KAA 4591, rebuilt here) (this project, 1533)"	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
john hungary to dukes bavaria	1	1534-1534	sperantio1534	unknown	"King John–Bavaria sign cipher, ""System L"" (KAA 4591, rebuilt here) (this project, 1533)"	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
das zweyte	1	1798-1798	mellon136	unknown	Silentium Dei secret script (p. 83) (, 1798)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
isabella castile to estrada	1	1503-1503	estrada1503	unknown	Cifra general de los Reyes Católicos (RAH 9/15) (Galende Díaz, 1994)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
georges selve to francis	1	1535-1536	selve1535	unknown	Tomokiyo's Selve key (Satoshi Tomokiyo, 1536)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
from reims	1	1589-1589	r2276	unknown	Nevers-Piles alphabet (Tomokiyo) (Satoshi Tomokiyo, from BnF fr. 3612, 1586)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
from rome to abbé orbais	1	1589-1589	orbais	unknown	Nevers-Piles alphabet (Tomokiyo) (Satoshi Tomokiyo, from BnF fr. 3612, 1586)	0/1	Bourdeau	sources/solver-diffs/2026-09-24-cyphersolver-keys.tsv
pisany jean to louis gonzague	1	1593-1593	btv1b9059406b f.169	unknown	Satoshi Tomokiyo (nevers.htm no.46); key table transcribed by Daniel Bourdeau (CC BY 4.0, nevers1593	1/1	none on record	sources/solver-diffs/2026-09-24-keys-vs-siblings.tsv
dopff to heinsius	1	1702-1702	Nationaal Archief 3.01.19, inv.nr. 756 (H.A. 756)	unknown	none found this pass	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
schonenberg lisbon to heinsius	1	1709-1709	Nationaal Archief 3.01.19, inv.nr. 1445 (H.A. 1445)	unknown	none found this pass	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
rumpf rotterdam to heinsius	1	1716-1716	not given directly; neighbour letter 143 cites H.A. 1975	unknown	same correspondent as letters 309 and 446 below (same circle, different years)	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
rumpf stockholm to alonne heinsius	1	1718-1718	Nationaal Archief 3.01.19, inv.nr. 2030 (H.A. 2030)	unknown	same correspondent as letters 142 and 446	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
bie stockholm to heinsius	1	1719-1719	Nationaal Archief 3.01.19, inv.nr. 2044 (H.A. 2044)	unknown	same H.A. dossier (2044) as van de Bie/Rumpf joint letter 487, 19 Sep 1719 (plaintext); same wider c	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
not confirmed to heinsius	1	1718-1720	not confirmed this pass	unknown	possibly same circle as HU4 (unconfirmed)	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
borssele der to heinsius	1	1714-1714	Nationaal Archief 3.01.19, inv.nr. 1836 (H.A. 1836)	unknown	possible solved sibling in the same dossier -- unconfirmed whether it is the same cipher instance	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
beuningen using to witt	1	1656-1656	not confirmed this pass	unknown	a named, otherwise-working key (Nieupoort's) exists and was tried and failed on this instance -- pos	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
beuningen circle to witt	1	1657-1657	not confirmed this pass	unknown	a plaintext copy of the identical letter is stated to exist -- if both survive, this is a known-plai	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
not confirmed to witt	1	1660-1660	not confirmed this pass	unknown	none found this pass	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
unconfirmed sender to oldenbarnevelt	1	1598-1598	Legatie-Archief 611, IV	unknown	key present in the same archival dossier	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
unconfirmed to unconfirmed	1	1624-1625	unconfirmed	unknown	none found this pass	0/1	none on record	sources/huygens/cipher-letters-2026-09-24.tsv
haersolte warsaw to heinsius	1	1703-1703	Nationaal Archief 3.01.19, inv.nr. 841 (H.A. 841)	unknown	none found this pass; same broad Heinsius numeric-name-code shape as HU1 (van Dopff, letter 357) but	1/1	none on record	sources/huygens/cipher-letters-round2-2026-09-24.tsv
magistrate breda to staten generaal	1	1624-1625	S.G. 4945 I, orig. (Nationaal Archief 1.01.02, Staten-Generaal resolutions/ingekomen stukken; NOT the 3.01.19 Heinsius series)	unknown	none found this pass; resolves the round-1 harvest's flagged-but-unresolved 'Deel 7 p.100' item	0/1	none on record	sources/huygens/cipher-letters-round2-2026-09-24.tsv
henri brasset to antoine bordeaux	1	1653-1653	"Bodleian MS. e. Musaeo 203, p. 203 ff. (also catalogued as MS. Eng. misc. e. 475 p.239 and ""MS. 19336"" p.212 in EMLO -- same volume)"	unknown	not checked (Davys 1737 introduction to this collection not reread against this letter)	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
unknown to unknown	1	1651-1651	"Bodleian MS. e. Musaeo 203, p. 215 ff. (also ""MS. 19336"" p.212, MS. Eng. misc. e. 475 p.239)"	unknown	not checked	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
george villiers to unknown	1	unknown	Bodleian MS. e. Musaeo 203, p. 226 ff. (also MS. Eng. misc. e. 475 p.242)	unknown	not checked	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
peter townesend to unknown	1	1658-1658	Bodleian MS. e. Musaeo 203, p. 219 ff. (also MS. Eng. misc. e. 475 p.247, MS. 19336 p.219)	unknown	not checked	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
unknown male to john williams	1	1690-1690	Bodleian MS. Eng. misc. c. 382, p. 223 ff.	unknown	not checked	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
thomas roe to elizabeth stuart	1	1621-1641	various Dutch/German locations, per-letter shelfmarks not tabulated this pass	unknown	"ox_sourceOfData ""Nadine Akkerman, 4 April 2017"" -- Akkerman is general editor of The Correspondence "	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
henry jermyn to james butler	1	1660-1661	Bodleian MS Carte 213, ff. 602/632/660/680-681	unknown	n/a	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
aphra behn to james halsall	1	1666-1666	TNA SP 29/172 and others	unknown	n/a	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
william austen to james exiled	1	1690-1691	Bodleian MS Eng. misc. c. 382 pp. 221/224-225	unknown	n/a	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
thomas harrison to henry cromwell	1	1656-1657	various	unknown	Thurloe/Birch printed edition, likely	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
august braunschweig to athanasius kircher	1	1664-1664	shelf 563, fols 88r-89v	unknown	n/a	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
johann baner to stallhausen	1	1640-1640	shelf 568, f. 239rv	unknown	n/a	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
various to robert boyle	1	1669-1688	Boyle Papers BP 36; Wallis-Jenkins correspondence	unknown	Hunter et al. Boyle Correspondence vol.4/vol.6	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
pierre bayle to jacob bayle	1	1678-1678	various	unknown	n/a	0/1	none on record	sources/emlo/cipher-letters-2026-09-24.tsv
philippe croij to willem oranje	1	1579-1579	AAP ; AAV ; AGSV ; GCGT ; HSADU ; HSAM ; RNPC	unknown	printed: Gachard	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
nicolaas brunynck to willem oranje	1	1575-1575	GPA ; KHAG	unknown	printed: Groen van Prinsterer	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
[DECODE:Archivo de la Corona de Aragón] to diversos	1	1718-1718	ACA_Diversos_Cajón_1_leg.22_doc.67.	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivo de la Corona de Aragón] to cancillería	1	1435-1435	ACA_Cancillería_Registro_3225_1	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivo de la Corona de Aragón] to reserva	1	1420-1420	ACA_Reserva_12_1	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivo General de Simancas] to sec estado	1	1527-1527	AGS_EST_LEG_1563	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivo General de Simancas] to sec estado	1	1516-1516	AGS_EST_LEG_496_1	unknown (~8 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Biblioteca de la Real Academia de la Historia] to signatura	1	1517-1517	BRAH_Signatura-9/17_1	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to mélanges colbert	1	1654-1654	BnF_Mélanges-de-Colbert-11_1	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3616	1	1500-1599	BnF_Français-3616_4	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bavaria Main State Archive] to kurbayern äußeres	1	1619-1619	BayHStA_KAA_4591_281	unknown (~10 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32256	1	1753-1753	BL_Add_MS_32256_235	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 61575	1	1702-1723	BL_Add_MS_61575_095	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 1582	1	1554-1554	BL_Harley_MS_1582_008	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 287	1	1560-1650	BL_Harley_MS_287_011	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to cotton galba	1	1516-1516	BL_Cotton_MS_Galba_B_V_040	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32091	1	1558-1558	BL_Add_MS_32091_213	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 6988	1	1648-1648	BL_Harley_MS_6988_208	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France (BnF)] to italien 1583	1	unknown	BnF_1583_068	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 7001	1	1641-1641	BL_Harley_MS_7001_148	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to harley 286	1	1635-1635	BL_Harley_MS_286_061	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32287	1	1716-1836	BL_Add_MS_32287_037	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to cotton caligula	1	1569-1572	BL_Cotton_MS_Caligula_C_II_277	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32650	1	1543-1543	BL_Add_MS_32650_214-216	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 18983	1	1645-1645	BL_Add_MS_18983_014	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 4166	1	1659-1659	BL_Add_MS_4166_092-093	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
